CELEX,chunk_id,chunk_number,chunk_text
32006R0336,32006R0336_4,4," Article 2(f) of Directive 98/18/EC shall apply; (7) cargo ship means a ship, including a high-speed craft, which is not a passenger ship; (8) international voyage means a voyage by sea from a port of a Member State or any other State to a port outside that State, or vice versa; (9) domestic voyage means a voyage in sea areas from a port of a Member State to the same or another port within that Member State; (10) regular shipping service means a series of ship crossings operated so as to serve traffic between the same two or more points, either: (a) according to a published timetable; or (b) with crossings so regular or frequent that they constitute a recognisable systematic series; (11) ro-ro passenger ferry means a seagoing passenger vessel as defined in Chapter II-1 of SOLAS, in its up-to-date version; (12) passenger submersible craft means a passenger-carrying mobile vessel which primarily operates under water and relies on surface support, such as a surface ship or shore-based facilities, for monitoring and for one or more of the following: (a) recharging of power supply; (b) recharging high pressure air; (c) recharging life-support; (13) mobile offshore drilling unit means a vessel capable of engaging in drilling operations for the exploration for or exploitation of resources beneath the seabed such as liquid or gaseous hydrocarbons, sulphur or salt; (14) gross tonnage means the gross tonnage of a ship determined in accordance with the International Convention on Tonnage Measurement of Ships, 1969 or, in the case of ships engaged exclusively on domestic voyages and not measured in accordance with the said Convention, the gross tonnage of the ship determined in accordance with national tonnage measurement regulations. Article 3 Scope 1. This Regulation shall apply to the following types of ships and to companies operating them: (a) cargo ships and passenger ships, flying the flag of a Member State, engaged on international voyages; (b) cargo ships and passenger"
32006R0336,32006R0336_5,5,"to the following types of ships and to companies operating them: (a) cargo ships and passenger ships, flying the flag of a Member State, engaged on international voyages; (b) cargo ships and passenger ships engaged exclusively on domestic voyages, regardless of their flag; (c) cargo ships and passenger ships operating to or from ports of the Member States, on a regular shipping service, regardless of their flag; (d) mobile offshore drilling units operating under the authority of a Member State. 2. This Regulation shall not apply to the following types of ships or to the companies operating them: (a) ships of war and troopships and other ships owned or operated by a Member State and used only on government non-commercial service; (b) ships not propelled by mechanical means, wooden ships of primitive build, pleasure yachts and pleasure craft, unless they are or will be crewed and carrying more than 12 passengers for commercial purposes; (c) fishing vessels; (d) cargo ships and mobile offshore drilling units of less than 500 gross tonnage; (e) passenger ships, other than ro-ro passenger ferries, in sea areas of Class C and D as defined in Article 4 of Directive 98/18/EC. Article 4 Compliance Member States shall ensure that all companies operating ships falling within the scope of this Regulation comply with the provisions of this Regulation. Article 5 Safety management requirements The ships referred to in Article 3(1) and the companies operating them shall comply with the requirements of Part A of the ISM Code. Article 6 Certification and verification For the purposes of certification and verification, Member States shall comply with the provisions of Part B of the ISM Code. Article 7 Derogation 1. A Member State may, if it considers it difficult in practice for companies to comply with paragraphs 6, 7, 9, 11 and 12 of Part A of the ISM Code for certain ships or categories of ships exclusively engaged on domestic voyages in that Member State, derogate wholly or partly"
32006R0336,32006R0336_6,6," to comply with paragraphs 6, 7, 9, 11 and 12 of Part A of the ISM Code for certain ships or categories of ships exclusively engaged on domestic voyages in that Member State, derogate wholly or partly from those provisions by imposing measures ensuring equivalent achievement of the objectives of the Code. 2. A Member State may, for ships and companies for which a derogation has been adopted by virtue of paragraph 1, if it considers it difficult in practice to apply the requirements laid down in Article 6, establish alternative certification and verification procedures. 3. In the circumstances set out in paragraph 1 and, if applicable, paragraph 2, the following procedure shall apply: (a) the Member State concerned shall notify the Commission of the derogation and of the measures which it intends to adopt; (b) if, within six months of the notification, it is decided, in accordance with the procedure referred to in Article 12(2), that the proposed derogation is not justified or that the proposed measures are not sufficient, the Member State shall be required to amend or refrain from adopting the proposed provisions; (c) the Member State shall make any adopted measures public with a direct reference to paragraph 1 and, if applicable, paragraph 2. 4. Following a derogation under paragraph 1 and, if applicable, paragraph 2, the Member State concerned shall issue a certificate in accordance with the second subparagraph of Annex II, Part B, Section 5, indicating the applicable operational limitations. Article 8 Validity, acceptance and recognition of certificates 1. The Document of Compliance shall remain valid for up to five years from the date of its issue. The Safety Management Certificate shall remain valid for up to five years from the date of its issue. 2. In cases of renewal of the Document of Compliance and the Safety Management Certificate, the relevant provisions of Part B of the ISM Code shall apply. 3. Member States shall accept Documents of Compliance, Interim"
32006R0336,32006R0336_7,7,"newal of the Document of Compliance and the Safety Management Certificate, the relevant provisions of Part B of the ISM Code shall apply. 3. Member States shall accept Documents of Compliance, Interim Documents of Compliance, Safety Management Certificates and Interim Safety Management Certificates issued by the administration of any other Member State or on behalf of this administration by a recognised organisation. 4. Member States shall accept Documents of Compliance, Interim Documents of Compliance, Safety Management Certificates and Interim Safety Management Certificates issued by, or on behalf of, the administrations of third countries. However, for ships engaged on a regular shipping service, compliance with the ISM Code by the Documents of Compliance, Interim Documents of Compliance, Safety Management Certificates and Interim Safety Management Certificates issued on behalf of administrations of third countries shall be verified, by any appropriate means, by or on behalf of the Member State(s) concerned, unless they were issued by the administration of a Member State or by a recognised organisation. Article 9 Penalties Member States shall lay down the rules on penalties applicable to infringements of this Regulation and shall take all the measures necessary to ensure that they are implemented. The penalties provided for must be effective, proportionate and dissuasive. Article 10 Reporting 1. Member States shall report to the Commission every two years on the implementation of this Regulation. 2. The Commission shall, in accordance with the procedure referred to in Article 12(2), establish a harmonised specimen form for such reports. 3. The Commission shall, with the assistance of the European Maritime Safety Agency and within six months of receiving the reports from Member States, prepare a consolidated report concerning the implementation of this Regulation, with any proposed measures, if appropriate. This report shall be addressed to the European Parliament"
32006R0336,32006R0336_8,8,"rom Member States, prepare a consolidated report concerning the implementation of this Regulation, with any proposed measures, if appropriate. This report shall be addressed to the European Parliament and the Council. Article 11 Amendments 1. Amendments to the ISM Code may be excluded from the scope of this Regulation pursuant to Article 5 of Regulation (EC) No 2099/2002 of the European Parliament and of the Council of 5 November 2002 establishing a Committee on Safe Seas and the Prevention of Pollution from Ships (COSS) (8). 2. Any amendment to Annex II shall be made in accordance with the procedure referred to in Article 12(2). Article 12 Committee 1. The Commission shall be assisted by the Committee on Safe Seas and the Prevention of Pollution from Ships (COSS) set up under Article 3 of Regulation (EC) No 2099/2002. 2. Where reference is made to this paragraph, Articles 5 and 7 of Decision 1999/468/EC shall apply, having regard to the provisions of Article 8 thereof. The period laid down in Article 5(6) of Decision 1999/468/EC shall be set at two months. 3. The Committee shall adopt its Rules of Procedure. Article 13 Repeal 1. Regulation (EC) No 3051/95 shall be repealed with effect from 24 March 2006. 2. Interim Documents of Compliance, Interim Safety Management Certificates, Documents of Compliance and Safety Management Certificates issued before 24 March 2006 shall remain valid until their expiry or until their next endorsement. Article 14 Entry into force This Regulation shall enter into force on the 20th day following its publication in the Official Journal of the European Union. As concerns cargo and passenger ships, which are not already required to comply with the ISM Code, this Regulation shall apply as from 24 March 2008. This Regulation shall be binding in its entirety and directly applicable in all Member States. Done at Strasbourg, 15 February 2006. For the European Parliament The President J. BORRELL FONTELLES For the Council The President H. WINKLE"
32006R0336,32006R0336_9,9," its entirety and directly applicable in all Member States. Done at Strasbourg, 15 February 2006. For the European Parliament The President J. BORRELL FONTELLES For the Council The President H. WINKLER (1) OJ C 302, 7.12.2004, p. 20. (2) Opinion of the European Parliament of 10 March 2004 (OJ C 102 E, 28.4.2004, p. 565), Council Common Position of 18 July 2005 (OJ C 264 E, 25.10.2005, p. 28) and Position of the European Parliament of 13 December 2005 (not yet published in the Official Journal). (3) OJ L 320, 30.12.1995, p. 14. Regulation as last amended by Regulation (EC) No 2099/2002 of the European Parliament and of the Council (OJ L 324, 29.11.2002, p. 1). (4) OJ L 157, 7.7.1995, p. 1. Directive as last amended by Directive 2002/84/EC of the European Parliament and of the Council (OJ L 324, 29.11.2002, p. 53). (5) OJ L 319, 12.12.1994, p. 20. Directive as last amended by Directive 2002/84/EC. (6) OJ L 144, 15.5.1998, p. 1. Directive as last amended by Commission Directive 2003/75/EC (OJ L 190, 30.7.2003, p. 6). (7) OJ L 184, 17.7.1999, p. 23. (8) OJ L 324, 29.11.2002, p. 1. Regulation as amended by Commission Regulation (EC) No 415/2004 (OJ L 68, 6.3.2004, p. 10). ANNEX I International Management Code for the Safe Operation of Ships and for Pollution Prevention (International Safety Management (ISM) Code) Part A  Implementation 1. General 1.1. Definitions 1.2. Objectives 1.3. Application 1.4. Functional requirements for a safety management system (SMS) 2. Safety and environmental protection policy 3. Company responsibilities and authority 4. Designated person(s) 5. Master's responsibility and authority 6. Resources and personnel 7. Development of plans for shipboard operations 8. Emergency preparedness 9. Reports and analysis of non-conformities, accidents and hazardous occurrences 10. Maintenance of the ship and equipment 11. Documentation 12. Company verification, review and evaluation Part B  Certification and verification 13. Certification and periodical ve"
32006R0336,32006R0336_10,10,"dous occurrences 10. Maintenance of the ship and equipment 11. Documentation 12. Company verification, review and evaluation Part B  Certification and verification 13. Certification and periodical verification 14. Interim certification 15. Verification 16. Forms of certificates INTERNATIONAL MANAGEMENT CODE FOR THE SAFE OPERATION OF SHIPS AND FOR POLLUTION PREVENTION (INTERNATIONAL SAFETY MANAGEMENT (ISM) CODE) PART A  IMPLEMENTATION 1. General 1.1. Definitions The following definitions apply to Parts A and B of this Code. 1.1.1. International Safety Management (ISM) Code means the International Management Code for the Safe Operation of Ships and for Pollution Prevention as adopted by the Assembly, as may be amended by the organisation. 1.1.2. Company means the owner of the ship or any other organisation or person such as the manager or the bareboat charterer, who has assumed the responsibility for the operation of the ship from the shipowner and who on assuming such responsibility has agreed to take over all the duties and responsibility imposed by the Code. 1.1.3. Administration means the government of the State whose flag the ship is entitled to fly. 1.1.4. Safety management system means a structured and documented system enabling company personnel to implement effectively the company safety and environmental protection policy. 1.1.5. Document of Compliance means a document issued to a company which complies with the requirements of this Code. 1.1.6. Safety Management Certificate means a document issued to a ship which signifies that the company and its shipboard management operate in accordance with the approved safety management system. 1.1.7. Objective evidence means quantitative or qualitative information, records or statements of fact pertaining to safety or to the existence and implementation of a safety management system element, which is based on observation, measurement or test and which can be verified. 1.1.8. Observation means a statement of fact mad"
32006R0336,32006R0336_11,11,"o the existence and implementation of a safety management system element, which is based on observation, measurement or test and which can be verified. 1.1.8. Observation means a statement of fact made during a safety management audit and substantiated by objective evidence. 1.1.9. Non-conformity means an observed situation where objective evidence indicates the non-fulfilment of a specified requirement. 1.1.10. Major non-conformity means an identifiable deviation that poses a serious threat to the safety of personnel or the ship or a serious risk to the environment that requires immediate corrective action and includes the lack of effective and systematic implementation of a requirement of this Code. 1.1.11. Anniversary date means the day and month of each year that corresponds to the date of expiry of the relevant document or certificate. 1.1.12. Convention means the International Convention for the Safety of Life at Sea, 1974 as amended. 1.2. Objectives 1.2.1. The objectives of the Code are to ensure safety at sea, prevention of human injury or loss of life, and avoidance of damage to the environment, in particular, to the marine environment, and to property. 1.2.2. Safety management objectives of the company should, inter alia: 1.2.2.1. provide for safe practices in ship operation and a safe working environment; 1.2.2.2. establish safeguards against all identified risks; and 1.2.2.3. continuously improve safety management skills of personnel ashore and aboard ships, including preparing for emergencies related both to safety and environmental protection. 1.2.3. The safety management system should ensure: 1.2.3.1. compliance with mandatory rules and regulations; and 1.2.3.2. that applicable codes, guidelines and standards recommended by the organisation, administrations, classification societies and maritime industry organisations are taken into account. 1.3. Application The requirements of this Code may be applied to all ships. 1.4. Functional requirements for a "
32006R0336,32006R0336_12,12,"ns, classification societies and maritime industry organisations are taken into account. 1.3. Application The requirements of this Code may be applied to all ships. 1.4. Functional requirements for a safety management system (SMS) Every company should develop, implement and maintain a safety management system (SMS) which includes the following functional requirements: 1.4.1. a safety and environmental protection policy; 1.4.2. instructions and procedures to ensure safe operation of ships and protection of the environment in compliance with relevant international and flag State legislation; 1.4.3. defined levels of authority and lines of communication between, and amongst, shore and shipboard personnel; 1.4.4. procedures for reporting accidents and non-conformities with the provisions of this Code; 1.4.5. procedures to prepare for and respond to emergency situations; and 1.4.6. procedures for internal audits and management reviews. 2. Safety and environmental protection policy 2.1. The company should establish a safety and environmental protection policy which describes how the objectives, given in paragraph 1.2, will be achieved. 2.2. The company should ensure that the policy is implemented and maintained at all levels of the organisation both ship-based as well as shore-based. 3. Company responsibilities and authority 3.1. If the entity who is responsible for the operation of the ship is other than the owner, the owner must report the full name and details of such entity to the administration. 3.2. The company should define and document the responsibility, authority and interrelation of all personnel who manage, perform and verify work relating to and affecting safety and pollution prevention. 3.3. The company is responsible for ensuring that adequate resources and shore-based support are provided to enable the designated person or persons to carry out their functions. 4. Designated person(s) To ensure the safe operation of each ship and to provide a link between t"
32006R0336,32006R0336_13,13,"re-based support are provided to enable the designated person or persons to carry out their functions. 4. Designated person(s) To ensure the safe operation of each ship and to provide a link between the company and those on board, every company, as appropriate, should designate a person or persons ashore having direct access to the highest level of management. The responsibility and authority of the designated person or persons should include monitoring the safety and pollution prevention aspects of the operation of each ship and to ensure that adequate resources and shore-based support are applied, as required. 5. Master's responsibility and authority 5.1. The company should clearly define and document the master's responsibility with regard to: 5.1.1. implementing the safety and environmental protection policy of the company; 5.1.2. motivating the crew in the observance of that policy; 5.1.3. issuing appropriate orders and instructions in a clear and simple manner; 5.1.4. verifying that specified requirements are observed; and 5.1.5. reviewing the SMS and reporting its deficiencies to the shore-based management. 5.2. The company should ensure that the SMS operating on board the ship contains a clear statement emphasising the master's authority. The company should establish in the SMS that the master has the overriding authority and the responsibility to make decisions with respect to safety and pollution prevention and to request the company's assistance as may be necessary. 6. Resources and personnel 6.1. The company should ensure that the master is: 6.1.1. properly qualified for command; 6.1.2. fully conversant with the company's SMS; and 6.1.3. given the necessary support so that the master's duties can be safely performed. 6.2. The company should ensure that each ship is manned with qualified, certificated and medically fit seafarers in accordance with national and international requirements. 6.3. The company should establish procedures to ensure that new pers"
